Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,1.0,1.0,Hai phương pháp gần nhau.
cross-doc,Faithfulness,1.0,1.0,Hai phương pháp gần nhau.
cross-doc,Multi-hop reasoning,1.0,1.0,Hai phương pháp gần nhau.
cross-doc,Latency (s),1.174,1.143,GraphRAG không đắt hơn trong sample này.
cross-doc,Token usage,1071.0,945.5,GraphRAG không đắt hơn trong sample này.
factoid,Comprehensiveness,1.0,1.0,Hai phương pháp gần nhau.
factoid,Faithfulness,1.0,1.0,Hai phương pháp gần nhau.
factoid,Multi-hop reasoning,1.0,1.0,Hai phương pháp gần nhau.
factoid,Latency (s),1.211,0.648,GraphRAG không đắt hơn trong sample này.
factoid,Token usage,707.0,547.0,GraphRAG không đắt hơn trong sample này.
multi-hop,Comprehensiveness,1.0,1.0,Hai phương pháp gần nhau.
multi-hop,Faithfulness,1.0,1.0,Hai phương pháp gần nhau.
multi-hop,Multi-hop reasoning,1.0,1.0,Hai phương pháp gần nhau.
multi-hop,Latency (s),0.745,0.779,Flat RAG thường rẻ/nhanh hơn.
multi-hop,Token usage,794.0,683.5,GraphRAG không đắt hơn trong sample này.
